Designator,Mid X,Mid Y,Rotation,Layer
D79,696.7090004381594,-179.41214360183864,105.0,top
D8,665.1072334381594,-116.52432460183864,105.0,top
D80,715.1098874381594,-174.48164060183865,105.0,top
D81,733.5107754381594,-169.55113760183866,105.0,top
D82,751.9116624381594,-164.62063460183865,105.0,top
D83,770.3125494381593,-159.69013260183866,105.0,top
D84,790.8484064381594,-144.32656260183865,105.0,top
D85,452.4375,-227.6475,90.0,top
D86,471.4875,-227.6475,90.0,top
D87,490.5375,-227.6475,90.0,top
D88,509.5875,-227.6475,90.0,top
D89,528.6375,-227.6475,90.0,top
D9,683.5081204381594,-111.59382160183864,105.0,top
D90,547.6875,-227.6475,90.0,top
D91,655.6372874381593,-210.13928760183865,105.0,top
D92,674.0381744381593,-205.20878560183866,105.0,top
D93,692.4390624381593,-200.27828260183864,105.0,top
D94,710.8399474381594,-195.34778060183865,105.0,top
D95,729.2408364381594,-190.41727760183863,105.0,top
D96,747.6417224381594,-185.48677460183865,105.0,top
D97,798.2441614381594,-171.92789160183864,105.0,top
D98,457.2,-246.6975,90.0,top
D99,481.0125,-246.6975,90.0,top
J1,597.9500004454952,-218.44000023111977,97.5,top
OLED DISPLAY1,592.959937152211,-180.33064540653564,97.5,top
SW1,459.58125,-138.40375,0.0,top
SW10,692.4141573460823,-108.02982959516471,15.0,top
SW100_1.25,492.91875,-245.56,0.0,top
SW101,531.01875,-248.5075,0.0,top
SW102,681.737249481522,-224.74168596815176,15.0,top
SW103_1.25,717.7761563460823,-212.03361359516472,15.0,top
SW104_1.25,740.7772633460823,-205.87048459516473,15.0,top
SW105_1.25,763.7783723460823,-199.70735659516473,15.0,top
SW106_1.5,789.0795923460823,-192.9279145951647,15.0,top
SW11,710.8150443460823,-103.09932659516471,15.0,top
SW12,729.2159303460824,-98.16882359516471,15.0,top
SW13,747.6168193460824,-93.23832059516472,15.0,top
SW17,438.15,-169.36,0.0,top
SW18,457.2,-169.36,0.0,top
SW19,476.25,-169.36,0.0,top
SW2,478.63125,-138.40375,0.0,top
SW20,495.3,-169.36,0.0,top
SW21,514.35,-169.36,0.0,top
SW22,533.4,-169.36,0.0,top
SW23,552.45,-169.36,0.0,top
SW24,645.1515923460823,-152.6052615951647,15.0,top
SW25,663.5524813460823,-147.67475859516472,15.0,top
SW26,681.9533673460824,-142.7442555951647,15.0,top
SW27,700.3542543460824,-137.81375259516471,15.0,top
SW28,718.7551413460824,-132.88325059516472,15.0,top
SW29,737.1560283460823,-127.95274759516472,15.0,top
SW3,497.68125,-138.40375,0.0,top
SW30_2,765.5202284815219,-123.40405896815174,15.0,top
SW4,516.73125,-138.40375,0.0,top
SW5,535.78125,-138.40375,0.0,top
SW58_1.5,442.9125,-188.41,0.0,top
SW59,466.725,-188.41,0.0,top
SW6,554.92,-138.40375,0.0,top
SW60,485.775,-188.41,0.0,top
SW61,504.825,-188.41,0.0,top
SW62,523.875,-188.41,0.0,top
SW63,542.925,-188.41,0.0,top
SW64,640.8816543460823,-173.4713995951647,15.0,top
SW65,659.2825393460823,-168.54089559516473,15.0,top
SW66,677.6834283460823,-163.6103925951647,15.0,top
SW67,696.0843143460824,-158.67988959516472,15.0,top
SW68,714.4852003460824,-153.7493875951647,15.0,top
SW69,732.8860893460824,-148.81888459516472,15.0,top
SW7,637.2114953460823,-122.82133759516472,15.0,top
SW70,751.2869743460823,-143.88838259516473,15.0,top
SW71,766.0177053460824,-88.30781759516472,15.0,top
SW71_1.75,445.29375,-207.46,0.0,top
SW72,471.4875,-207.46,0.0,top
SW73,490.5375,-207.46,0.0,top
SW74,509.5875,-207.46,0.0,top
SW75,528.6375,-207.46,0.0,top
SW76,547.6875,-207.46,0.0,top
SW77,650.4123773460823,-190.6396605951647,15.0,top
SW78,668.8132643460823,-185.70915859516472,15.0,top
